2025-05-10 16:38:33,063 | INFO | 📄 Starting processing file: 2025 - 01 - 02- Night Audit Packet.pdf
2025-05-10 16:38:33,078 | INFO | 📄 Starting processing file: 2025 - 01 - 03- Night Audit Packet.pdf
2025-05-10 16:38:33,080 | INFO | 📄 Starting processing file: 2025 - 01 - 04- Night Audit Packet.pdf
2025-05-10 16:38:33,080 | INFO | 📄 Starting processing file: 2025 - 01 - 05- Night Audit Packet.pdf
2025-05-10 16:38:33,107 | INFO | 📄 Starting processing file: 2025 - 01 - 07- Night Audit Packet.pdf
2025-05-10 16:38:33,108 | INFO | 📄 Starting processing file: 2025 - 01 - 08- Night Audit Packet.pdf
2025-05-10 16:38:33,107 | INFO | 📄 Starting processing file: 2025 - 01 - 06- Night Audit Packet.pdf
2025-05-10 16:38:47,858 | INFO | ✅ Processed A/R Aging
2025-05-10 16:38:47,864 | INFO | ✅ Processed A/R Aging
2025-05-10 16:38:47,926 | INFO | ✅ Processed Transaction Closeout
2025-05-10 16:38:47,941 | INFO | ✅ Processed Transaction Closeout
2025-05-10 16:38:48,003 | INFO | ✅ Processed In-House List
2025-05-10 16:38:48,017 | INFO | ✅ Processed In-House List
2025-05-10 16:38:48,043 | INFO | ✅ Processed room_statistics
2025-05-10 16:38:48,055 | INFO | ✅ Processed room_statistics
2025-05-10 16:38:48,104 | INFO | ✅ Processed performance_statistics
2025-05-10 16:38:48,110 | INFO | ✅ Processed performance_statistics
2025-05-10 16:38:48,146 | INFO | ✅ Processed guest_statistics
2025-05-10 16:38:48,179 | INFO | ✅ Processed guest_statistics
2025-05-10 16:38:48,229 | INFO | ✅ Processed Ledger Activity
2025-05-10 16:38:48,248 | INFO | ✅ Processed Ledger Activity
2025-05-10 16:38:48,463 | INFO | ✅ Processed A/R Aging
2025-05-10 16:38:48,979 | INFO | ✅ Processed Transaction Closeout
2025-05-10 16:38:48,997 | INFO | ✅ Processed A/R Aging
2025-05-10 16:38:48,997 | INFO | ✅ Processed A/R Aging
2025-05-10 16:38:48,998 | INFO | ✅ Processed A/R Aging
2025-05-10 16:38:49,036 | INFO | ✅ Processed Transaction Closeout
2025-05-10 16:38:49,043 | INFO | ✅ Processed Transaction Closeout
2025-05-10 16:38:49,049 | INFO | ✅ Processed Transaction Closeout
2025-05-10 16:38:49,049 | INFO | ✅ Processed In-House List
2025-05-10 16:38:49,070 | INFO | ✅ Processed In-House List
2025-05-10 16:38:49,081 | INFO | ✅ Processed room_statistics
2025-05-10 16:38:49,090 | INFO | ✅ Processed room_statistics
2025-05-10 16:38:49,098 | INFO | ✅ Processed In-House List
2025-05-10 16:38:49,143 | INFO | ✅ Processed room_statistics
2025-05-10 16:38:49,145 | INFO | ✅ Processed In-House List
2025-05-10 16:38:49,146 | INFO | ✅ Processed performance_statistics
2025-05-10 16:38:49,147 | INFO | ✅ Processed performance_statistics
2025-05-10 16:38:49,175 | INFO | ✅ Processed guest_statistics
2025-05-10 16:38:49,184 | INFO | ✅ Processed performance_statistics
2025-05-10 16:38:49,184 | INFO | ✅ Processed room_statistics
2025-05-10 16:38:49,199 | INFO | ✅ Processed guest_statistics
2025-05-10 16:38:49,199 | INFO | ✅ Processed guest_statistics
2025-05-10 16:38:49,200 | INFO | ✅ Processed Ledger Activity
2025-05-10 16:38:49,202 | INFO | ✅ Processed performance_statistics
2025-05-10 16:38:49,249 | INFO | ✅ Processed Ledger Activity
2025-05-10 16:38:49,253 | INFO | ✅ Processed guest_statistics
2025-05-10 16:38:49,266 | INFO | ✅ Processed Ledger Activity
2025-05-10 16:38:49,303 | INFO | ✅ Processed Ledger Activity
2025-05-10 16:38:49,807 | INFO | ✅ Processed A/R Aging
2025-05-10 16:38:49,849 | INFO | ✅ Processed Transaction Closeout
2025-05-10 16:38:49,889 | INFO | ✅ Processed In-House List
2025-05-10 16:38:49,919 | INFO | ✅ Processed room_statistics
2025-05-10 16:38:49,941 | INFO | ✅ Processed performance_statistics
2025-05-10 16:38:49,965 | INFO | ✅ Processed guest_statistics
2025-05-10 16:38:49,983 | INFO | ✅ Processed Ledger Activity
2025-05-10 16:38:53,836 | INFO | ✅ Processed Ledger Summary
2025-05-10 16:38:53,838 | WARNING | ⚠️ No No Show Report data in 2025 - 01 - 06- Night Audit Packet.pdf
2025-05-10 16:38:53,861 | INFO | ✅ Processed Rate Discrepancy
2025-05-10 16:38:53,953 | INFO | ✅ Processed Hotel Journal Summary
2025-05-10 16:38:53,957 | INFO | ✅ Processed Ledger Summary
2025-05-10 16:38:53,971 | WARNING | ⚠️ No No Show Report data in 2025 - 01 - 02- Night Audit Packet.pdf
2025-05-10 16:38:54,010 | INFO | ✅ Processed Rate Discrepancy
2025-05-10 16:38:54,024 | INFO | ✅ Processed Hotel Journal Detail
2025-05-10 16:38:54,038 | INFO | ✅ Processed Hotel Journal Summary
2025-05-10 16:38:54,055 | INFO | ✅ Processed Reservation Activity → reservation_activity (3 rows)
2025-05-10 16:38:54,076 | INFO | ✅ Processed Shift Reconciliation → shift_reconciliation (2 rows)
2025-05-10 16:38:54,076 | INFO | ✅ Processed Hotel Journal Detail
2025-05-10 16:38:54,097 | INFO | ✅ Processed Shift Reconciliation → shift_summary (3 rows)
